V1,signif
aten_0.1.m1.12194.m1,1
aten_0.1.m1.12199.m1,1
aten_0.1.m1.1220.m1,1
aten_0.1.m1.12201.m1,1
aten_0.1.m1.12203.m1,1
aten_0.1.m1.12215.m1,1
aten_0.1.m1.12216.m1,1
aten_0.1.m1.12218.m1,1
aten_0.1.m1.12222.m1,1
aten_0.1.m1.12224.m1,1
aten_0.1.m1.12233.m1,1
aten_0.1.m1.12235.m1,1
aten_0.1.m1.1224.m1,1
aten_0.1.m1.12244.m1,1
aten_0.1.m1.12245.m1,1
aten_0.1.m1.12248.m1,1
aten_0.1.m1.12252.m1,1
aten_0.1.m1.12253.m1,1
aten_0.1.m1.12254.m1,1
aten_0.1.m1.12257.m1,1
aten_0.1.m1.12259.m1,1
aten_0.1.m1.12262.m1,1
aten_0.1.m1.12269.m1,1
aten_0.1.m1.12271.m1,1
aten_0.1.m1.12273.m1,1
aten_0.1.m1.12274.m1,1
aten_0.1.m1.12278.m1,1
aten_0.1.m1.12279.m1,1
aten_0.1.m1.12280.m1,1
aten_0.1.m1.12282.m1,1
aten_0.1.m1.12283.m1,1
aten_0.1.m1.12285.m1,1
aten_0.1.m1.12286.m1,1
aten_0.1.m1.12287.m1,1
aten_0.1.m1.12290.m1,1
aten_0.1.m1.12292.m1,1
aten_0.1.m1.12293.m1,1
aten_0.1.m1.12295.m1,1
aten_0.1.m1.12302.m1,1
aten_0.1.m1.12303.m1,1
aten_0.1.m1.12304.m1,1
aten_0.1.m1.12306.m1,1
aten_0.1.m1.12310.m1,1
aten_0.1.m1.12312.m1,1
aten_0.1.m1.12316.m1,1
aten_0.1.m1.12317.m1,1
aten_0.1.m1.12319.m1,1
aten_0.1.m1.1232.m1,1
aten_0.1.m1.12323.m1,1
aten_0.1.m1.12325.m1,1
aten_0.1.m1.12328.m1,1
aten_0.1.m1.12330.m1,1
aten_0.1.m1.12332.m1,1
aten_0.1.m1.12333.m1,1
aten_0.1.m1.12335.m1,1
aten_0.1.m1.12337.m1,1
aten_0.1.m1.12339.m1,1
aten_0.1.m1.12340.m1,1
aten_0.1.m1.12341.m1,1
aten_0.1.m1.12344.m1,1
aten_0.1.m1.12350.m1,1
aten_0.1.m1.12351.m1,1
aten_0.1.m1.12352.m1,1
aten_0.1.m1.12353.m1,1
aten_0.1.m1.12355.m1,1
aten_0.1.m1.12356.m1,1
aten_0.1.m1.12358.m1,1
aten_0.1.m1.12359.m1,1
aten_0.1.m1.12361.m1,1
aten_0.1.m1.12362.m1,1
aten_0.1.m1.1237.m1,1
aten_0.1.m1.12375.m1,1
aten_0.1.m1.12378.m1,1
aten_0.1.m1.12380.m1,1
aten_0.1.m1.12381.m1,1
aten_0.1.m1.12385.m1,1
